RepWeekDate,RegID,PCR Detection
05/01/21,1,1.15
05/08/21,1,0.864
05/15/21,1,0.957
05/22/21,1,1.15
05/29/21,1,0.876
06/05/21,1,1.353
06/12/21,1,1.428
06/19/21,1,1.522
06/26/21,1,1.647
07/03/21,1,2.231
07/10/21,1,2.478
07/17/21,1,2.98
07/24/21,1,4.192
07/31/21,1,6.691
08/07/21,1,7.543
08/14/21,1,8.676
08/21/21,1,8.855
08/28/21,1,9.612
09/04/21,1,9.935
09/11/21,1,10.929
09/18/21,1,11.911
09/25/21,1,11.561
10/02/21,1,10.639
10/09/21,1,9.439
10/16/21,1,9.161
10/23/21,1,8.647
10/30/21,1,8.407
11/06/21,1,8.494
11/13/21,1,6.392
11/20/21,1,7.004
11/27/21,1,6.279
12/04/21,1,4.924
12/11/21,1,4.118
12/18/21,1,3.123
12/25/21,1,2.274
01/01/22,1,2.15
01/08/22,1,1.666
01/15/22,1,1.228
01/22/22,1,1.102
01/29/22,1,0.893
02/05/22,1,0.869
02/12/22,1,0.742
02/19/22,1,0.838
02/26/22,1,0.666
03/05/22,1,0.615
03/12/22,1,0.536
03/19/22,1,0.541
03/26/22,1,0.654
04/02/22,1,0.519
04/09/22,1,0.763
04/16/22,1,0.557
04/23/22,1,0.75
04/30/22,1,0.737
05/07/22,1,0.651
05/14/22,1,0.535
05/21/22,1,0.623
05/28/22,1,0.916
06/04/22,1,0.982
06/11/22,1,1.131
06/18/22,1,1.071
06/25/22,1,1.418
07/02/22,1,1.643
07/09/22,1,1.431
07/16/22,1,1.424
07/23/22,1,1.371
07/30/22,1,1.889
08/06/22,1,2.118
08/13/22,1,2.246
08/20/22,1,2.918
08/27/22,1,2.514
09/03/22,1,3.064
09/10/22,1,3.011
09/17/22,1,3.782
09/24/22,1,4.943
10/01/22,1,6.557
10/08/22,1,8.111
10/15/22,1,11.578
10/22/22,1,13.158
10/29/22,1,17.244
11/05/22,1,18.672
11/12/22,1,19.345
11/19/22,1,15.494
11/26/22,1,10.705
12/03/22,1,7.493
12/10/22,1,5.458
12/17/22,1,4.337
12/24/22,1,3.314
12/31/22,1,2.859
01/07/23,1,2.714
01/14/23,1,2.076
01/21/23,1,2.25
01/28/23,1,1.809
02/04/23,1,1.42
02/11/23,1,1.09
02/18/23,1,1.014
02/25/23,1,0.821
03/04/23,1,0.941
03/11/23,1,0.686
03/18/23,1,0.604
03/25/23,1,0.523
04/01/23,1,0.507
04/08/23,1,0.278
04/15/23,1,0.283
04/22/23,1,0.39
05/01/21,2,0.528
05/08/21,2,0.772
05/15/21,2,1.027
05/22/21,2,1.57
05/29/21,2,1.957
06/05/21,2,3.008
06/12/21,2,2.851
06/19/21,2,3.644
06/26/21,2,5.911
07/03/21,2,5.67
07/10/21,2,8.378
07/17/21,2,9.341
07/24/21,2,13.559
07/31/21,2,15.962
08/07/21,2,16.688
08/14/21,2,16.244
08/21/21,2,21.945
08/28/21,2,20.797
09/04/21,2,20.556
09/11/21,2,19.462
09/18/21,2,18.266
09/25/21,2,18.445
10/02/21,2,18.251
10/09/21,2,17.696
10/16/21,2,16.487
10/23/21,2,15.793
10/30/21,2,14.603
11/06/21,2,11.794
11/13/21,2,10.039
11/20/21,2,7.23
11/27/21,2,5.232
12/04/21,2,5.63
12/11/21,2,3.824
12/18/21,2,2.67
12/25/21,2,2.446
01/01/22,2,2.25
01/08/22,2,2.041
01/15/22,2,1.568
01/22/22,2,1.482
01/29/22,2,1.215
02/05/22,2,1.14
02/12/22,2,1.291
02/19/22,2,1.143
02/26/22,2,1.053
03/05/22,2,1.037
03/12/22,2,1.096
03/19/22,2,1.131
03/26/22,2,0.942
04/02/22,2,1.06
04/09/22,2,0.855
04/16/22,2,1.194
04/23/22,2,0.937
04/30/22,2,1.12
05/07/22,2,0.874
05/14/22,2,1.215
05/21/22,2,1.224
05/28/22,2,1.35
06/04/22,2,1.799
06/11/22,2,1.828
06/18/22,2,1.938
06/25/22,2,2.216
07/02/22,2,2.236
07/09/22,2,2.085
07/16/22,2,2.167
07/23/22,2,1.951
07/30/22,2,2.169
